symbol,timestamp_est,open,high,low,close,volume,trade_count,vwap
QQQ,2020-07-27T00:00:00-04:00,257.2,260.52,256.5,260.12,289367,1950,258.93035
QQQ,2020-07-28T00:00:00-04:00,259.56,259.77,256.54,256.82,209178,1679,258.358951
QQQ,2020-07-29T00:00:00-04:00,258.36,260.64,257.99,259.86,177841,1332,259.413581
QQQ,2020-07-30T00:00:00-04:00,257.615,261.675,256.61,261.2,546880,2436,260.082635
QQQ,2020-07-31T00:00:00-04:00,265.73,265.8,260.89,265.8,394093,2312,263.676399
QQQ,2020-08-03T00:00:00-04:00,268.04,270.15,267.885,269.34,349307,1961,269.33652
QQQ,2020-08-04T00:00:00-04:00,269.04,270.42,268.105,270.42,237010,1598,269.446377
QQQ,2020-08-05T00:00:00-04:00,270.91,271.52,270,271.1,169295,1324,270.942324
QQQ,2020-08-06T00:00:00-04:00,270.94,274.94,270.21,274.585,241000,1513,273.292983
QQQ,2020-08-07T00:00:00-04:00,274.02,274.85,269.26,271.56,396540,2276,271.43463
QQQ,2020-08-10T00:00:00-04:00,271.76,271.955,266.755,270.3,312242,2083,269.360547
QQQ,2020-08-11T00:00:00-04:00,269.11,270.435,264.68,265.22,432241,2555,268.125527
QQQ,2020-08-12T00:00:00-04:00,267.49,272.82,267.47,271.92,381621,2111,271.279367
QQQ,2020-08-13T00:00:00-04:00,272.725,274.72,271.58,272.46,338133,2127,273.354033
QQQ,2020-08-14T00:00:00-04:00,273.08,273.38,270.77,272.16,212507,1835,271.912955
QQQ,2020-08-17T00:00:00-04:00,273.95,275.66,273.76,275.32,358311,2079,274.870082
QQQ,2020-08-18T00:00:00-04:00,276.36,278.465,275.03,278,255755,1561,277.370036
QQQ,2020-08-19T00:00:00-04:00,277.93,278.99,275.72,276.2,263030,1853,277.471096
QQQ,2020-08-20T00:00:00-04:00,275.19,280.425,275.03,279.88,269779,1909,278.555504
QQQ,2020-08-21T00:00:00-04:00,280.07,282.27,279.53,281.88,209244,1325,281.112628
QQQ,2020-08-24T00:00:00-04:00,285.105,285.975,281.37,283.56,327008,2303,283.60259
QQQ,2020-08-25T00:00:00-04:00,283.055,285.92,282.38,285.86,320887,1718,284.531098
QQQ,2020-08-26T00:00:00-04:00,287.21,292.1,287.005,291.96,485658,2832,290.575134
QQQ,2020-08-27T00:00:00-04:00,292.89,293.79,288.8,290.98,498725,3038,291.494241
QQQ,2020-08-28T00:00:00-04:00,292.42,293.06,290.99,292.51,229396,2226,292.30402
QQQ,2020-08-31T00:00:00-04:00,293.09,296.745,292.65,295.04,365292,1817,295.396477
QQQ,2020-09-01T00:00:00-04:00,297.625,300.02,296.09,299.94,375449,2492,298.526642
QQQ,2020-09-02T00:00:00-04:00,303.21,303.35,296.96,302.84,423181,3017,301.337341
QQQ,2020-09-03T00:00:00-04:00,298.13,298.54,284.45,287.27,1450760,9849,289.842929
QQQ,2020-09-04T00:00:00-04:00,285.65,288.89,271.86,283.67,1726153,10486,279.331697
QQQ,2020-09-08T00:00:00-04:00,272.25,278.19,269.71,270.07,1551142,9031,273.088113
QQQ,2020-09-09T00:00:00-04:00,275.68,280.035,273.01,277.97,411496,3312,276.750981
QQQ,2020-09-10T00:00:00-04:00,280.9,282.17,270.63,272.18,768746,5346,276.118601
QQQ,2020-09-11T00:00:00-04:00,274.23,275.13,266.92,270.64,912327,5706,270.629975
QQQ,2020-09-14T00:00:00-04:00,274.52,277.21,273.03,275.08,368860,2836,275.667912
QQQ,2020-09-15T00:00:00-04:00,278.93,280.43,277.305,278.96,555226,3567,279.165874
QQQ,2020-09-16T00:00:00-04:00,279.93,280.34,274.32,274.4,484336,3699,277.429679
QQQ,2020-09-17T00:00:00-04:00,267.53,272.34,266.72,270.45,849385,4914,269.279687
QQQ,2020-09-18T00:00:00-04:00,271.835,272,262.67,266.72,933536,5940,266.49704
QQQ,2020-09-21T00:00:00-04:00,262.59,267.64,260.13,267.62,891546,4914,263.461105
QQQ,2020-09-22T00:00:00-04:00,269.985,273.065,266.6,272.44,609044,4070,269.530901
QQQ,2020-09-23T00:00:00-04:00,272.15,272.29,263.28,264.02,415168,3289,267.24083
QQQ,2020-09-24T00:00:00-04:00,261.63,268.66,261.33,265.36,463993,3292,265.433653
QQQ,2020-09-25T00:00:00-04:00,265.85,272.37,264.37,271.64,364371,3032,269.024379
QQQ,2020-09-28T00:00:00-04:00,276.555,277.025,273.87,277.025,519838,3447,275.564742
QQQ,2020-09-29T00:00:00-04:00,276.68,277.62,275.45,275.82,256727,1695,276.460041
QQQ,2020-09-30T00:00:00-04:00,276,281.05,275.905,278.18,445845,2559,279.072641
QQQ,2020-10-01T00:00:00-04:00,281.775,282.78,279.92,282.275,369795,2873,281.536913
QQQ,2020-10-02T00:00:00-04:00,275.795,279.72,273.48,274.245,675527,3611,276.152441
QQQ,2020-10-05T00:00:00-04:00,276.5,280.44,276.42,280.28,361468,2119,278.722152
QQQ,2020-10-06T00:00:00-04:00,279.52,281.16,274.34,275.08,426312,3089,277.903281
QQQ,2020-10-07T00:00:00-04:00,278.02,280.7,277.38,280.11,333591,2533,279.560053
QQQ,2020-10-08T00:00:00-04:00,282.365,282.47,280.45,281.48,204363,1508,281.406362
QQQ,2020-10-09T00:00:00-04:00,283.09,285.79,282.8,285.74,246399,1917,284.822017
QQQ,2020-10-12T00:00:00-04:00,290.26,297.44,289.54,294.62,503670,3276,294.067978
QQQ,2020-10-13T00:00:00-04:00,296.28,296.96,293.17,294.44,646221,4104,294.973754
QQQ,2020-10-14T00:00:00-04:00,295.12,296.2,290.26,292.12,322577,2512,292.823524
QQQ,2020-10-15T00:00:00-04:00,287.25,290.68,286.6,289.98,327345,2237,288.614434
QQQ,2020-10-16T00:00:00-04:00,291.8,293.24,288.3,288.3,461123,2635,290.414296
QQQ,2020-10-19T00:00:00-04:00,290.52,291.4,282.89,283.74,338121,2408,286.381127
QQQ,2020-10-20T00:00:00-04:00,284.58,287.59,282.97,284.5,174559,1517,285.219022
QQQ,2020-10-21T00:00:00-04:00,284.78,287.265,283.78,284.18,288912,1897,285.276858
QQQ,2020-10-22T00:00:00-04:00,285.22,285.95,280.9,284.12,320522,2294,283.210111
QQQ,2020-10-23T00:00:00-04:00,284.795,284.845,281.83,284.82,200313,1734,283.556037
QQQ,2020-10-26T00:00:00-04:00,282.33,285.29,276.76,280.48,456238,3298,280.018387
QQQ,2020-10-27T00:00:00-04:00,281.41,283.42,280.27,282.7,233846,1895,282.129221
QQQ,2020-10-28T00:00:00-04:00,278.005,278.61,271.39,271.43,655551,4605,274.176694
QQQ,2020-10-29T00:00:00-04:00,273.05,279.43,272.53,276.24,379198,2768,276.403321
QQQ,2020-10-30T00:00:00-04:00,274.36,275.22,267.08,269.75,728890,4614,269.067459
QQQ,2020-11-02T00:00:00-05:00,271.88,273.42,267.005,270.01,459672,3218,269.647969
QQQ,2020-11-03T00:00:00-05:00,271.99,276.645,270.96,274.66,425161,3028,274.859359
QQQ,2020-11-04T00:00:00-05:00,283.53,288.76,281.91,286.76,728157,5410,286.321616
QQQ,2020-11-05T00:00:00-05:00,293.42,295.33,292.01,294.26,686495,4475,294.008832
QQQ,2020-11-06T00:00:00-05:00,293.605,295.32,289.88,294.62,512129,3333,293.497592
QQQ,2020-11-09T00:00:00-05:00,297.55,299.01,288.25,288.33,961973,5500,295.13402
QQQ,2020-11-10T00:00:00-05:00,285.225,286.615,280.68,283.56,740915,5481,283.285862
QQQ,2020-11-11T00:00:00-05:00,285.92,290.25,285.56,290,257131,2459,288.591325
QQQ,2020-11-12T00:00:00-05:00,290.77,292.02,287.28,288.38,336620,2789,289.540374
QQQ,2020-11-13T00:00:00-05:00,290.385,291.56,287.89,291.16,240834,1831,289.85057
QQQ,2020-11-16T00:00:00-05:00,290.615,293.5,290.09,292.94,304504,2602,292.031747
QQQ,2020-11-17T00:00:00-05:00,293.355,293.69,291.75,292.1,110746,1097,292.657129
QQQ,2020-11-18T00:00:00-05:00,291.795,293.33,290.04,290.06,227648,1775,291.597576
QQQ,2020-11-19T00:00:00-05:00,289.475,292.65,288.93,292.34,215591,2062,291.41618
QQQ,2020-11-20T00:00:00-05:00,292.2,293.05,290.3,290.38,116534,1206,291.788635
QQQ,2020-11-23T00:00:00-05:00,291.63,292.73,288.11,290.38,183923,1782,290.327262
QQQ,2020-11-24T00:00:00-05:00,291.56,294.97,289.65,294.53,277019,2003,293.397125
QQQ,2020-11-25T00:00:00-05:00,295.45,296.91,294.65,296.45,206774,1851,295.855576
QQQ,2020-11-27T00:00:00-05:00,298.26,300.16,297.95,299.04,196032,1820,299.090804
QQQ,2020-11-30T00:00:00-05:00,299.31,299.85,294.9,299.52,170716,1673,298.221495
QQQ,2020-12-01T00:00:00-05:00,302.02,305.13,300.88,303.58,270908,2442,303.420097
QQQ,2020-12-02T00:00:00-05:00,302.21,304.18,300.36,303.82,137037,1163,302.965341
QQQ,2020-12-03T00:00:00-05:00,304.13,305.84,303.54,303.82,215948,2052,304.62667
QQQ,2020-12-04T00:00:00-05:00,304.31,305.67,303.68,305.56,182317,2255,304.955896
QQQ,2020-12-07T00:00:00-05:00,305.565,307.61,305.53,307.24,154511,1273,306.793972
QQQ,2020-12-08T00:00:00-05:00,306.74,308.555,305.045,308.345,145765,2320,307.360693
QQQ,2020-12-09T00:00:00-05:00,308.04,308.28,300.26,301.5,386472,3586,303.646178
QQQ,2020-12-10T00:00:00-05:00,299.25,303.675,298.15,302.42,277770,2151,302.194769
QQQ,2020-12-11T00:00:00-05:00,300.76,301.905,298.5,301.72,200456,1835,300.505025
QQQ,2020-12-14T00:00:00-05:00,303.115,306.025,303.03,303.86,319357,2825,304.828391
QQQ,2020-12-15T00:00:00-05:00,306.42,307.24,304.175,307.18,206937,1936,306.100508
QQQ,2020-12-16T00:00:00-05:00,307.61,309.75,306.71,309,222359,1675,308.489585
QQQ,2020-12-17T00:00:00-05:00,310.73,311.23,309.41,311,259745,2498,310.553923
QQQ,2020-12-18T00:00:00-05:00,311.64,311.96,307.65,310,519943,3229,309.165146
QQQ,2020-12-21T00:00:00-05:00,306.38,309.375,303.68,308.94,356486,2826,306.663835
QQQ,2020-12-22T00:00:00-05:00,309.86,310.69,306.88,309.65,276732,2021,309.099428
QQQ,2020-12-23T00:00:00-05:00,309.85,310.16,308.09,308.16,247811,2072,309.207794
QQQ,2020-12-24T00:00:00-05:00,308.47,309.99,308.41,309.58,172562,1298,309.433381
QQQ,2020-12-28T00:00:00-05:00,312.27,313.155,310.45,312.59,279906,2419,312.371125
QQQ,2020-12-29T00:00:00-05:00,314.15,314.68,312.05,312.9,274646,2580,313.160352
QQQ,2020-12-30T00:00:00-05:00,314.155,314.37,312.405,312.97,223585,1389,313.17039
QQQ,2020-12-31T00:00:00-05:00,312.97,314.23,311.86,314.19,176463,1708,313.040598
QQQ,2021-01-04T00:00:00-05:00,315.13,315.29,305.27,309.35,370969,3229,309.286491
QQQ,2021-01-05T00:00:00-05:00,308.41,312,308.41,311.78,219913,2199,310.968899
QQQ,2021-01-06T00:00:00-05:00,306.83,311.87,306.05,307.55,483281,3825,309.124325
QQQ,2021-01-07T00:00:00-05:00,310.4,315.83,310.31,315.125,275396,2347,314.106308
