symbol,timestamp_est,open,high,low,close,volume,trade_count,vwap
QQQ,2025-01-02T09:30:00-05:00,514.23,514.23,513.77,513.93,7944,77,514.031953
QQQ,2025-01-02T09:31:00-05:00,514.16,514.61,513.975,514.61,5837,38,514.143551
QQQ,2025-01-02T09:32:00-05:00,514.55,514.88,514.14,514.14,3349,39,514.486011
QQQ,2025-01-02T09:33:00-05:00,514.165,514.22,512.81,512.81,4451,20,514.062001
QQQ,2025-01-02T09:34:00-05:00,513.17,513.22,512.44,512.44,3554,42,512.94982
QQQ,2025-01-02T09:35:00-05:00,512.51,512.51,511.84,511.87,4570,37,512.160653
QQQ,2025-01-02T09:36:00-05:00,511.56,511.68,511.21,511.21,1612,19,511.435333
QQQ,2025-01-02T09:37:00-05:00,510.95,511.43,510.92,511.25,3631,14,511.33771
QQQ,2025-01-02T09:38:00-05:00,511.38,511.47,511.01,511.01,1400,14,511.204728
QQQ,2025-01-02T09:39:00-05:00,510.85,510.85,510.39,510.39,1652,19,510.57
QQQ,2025-01-02T09:40:00-05:00,510.09,510.97,510.09,510.53,3139,43,510.416514
QQQ,2025-01-02T09:41:00-05:00,510.85,511,510.47,510.67,1336,20,510.696
QQQ,2025-01-02T09:42:00-05:00,510.66,511.26,510.29,511.24,1385,17,510.767692
QQQ,2025-01-02T09:43:00-05:00,511.34,511.53,510.72,510.83,1563,26,511.233046
QQQ,2025-01-02T09:44:00-05:00,510.95,510.95,510.95,510.95,415,11,510.95
QQQ,2025-01-02T09:45:00-05:00,511.56,511.56,511.37,511.37,236,5,511.465
QQQ,2025-01-02T09:46:00-05:00,512.2,512.2,511.6,511.95,606,16,511.905
QQQ,2025-01-02T09:47:00-05:00,511.75,512.34,511.75,512.17,1404,19,512.0725
QQQ,2025-01-02T09:48:00-05:00,512.19,512.52,512.18,512.52,3717,28,512.291398
QQQ,2025-01-02T09:49:00-05:00,512.46,513.08,512.34,513.08,747,16,512.6375
QQQ,2025-01-02T09:50:00-05:00,513.47,513.47,513.05,513.05,1021,16,513.325556
QQQ,2025-01-02T09:51:00-05:00,513.48,513.51,513.47,513.51,3749,17,513.477614
QQQ,2025-01-02T09:52:00-05:00,513.6,513.94,513.6,513.91,933,30,513.836357
QQQ,2025-01-02T09:53:00-05:00,514.27,514.57,514.1,514.475,7920,28,514.46089
QQQ,2025-01-02T09:54:00-05:00,514.58,515.18,514.39,515.1,1447,20,514.915
QQQ,2025-01-02T09:55:00-05:00,515.13,515.73,515.09,515.73,1460,22,515.561186
QQQ,2025-01-02T09:56:00-05:00,515.65,515.65,515.24,515.32,879,14,515.435714
QQQ,2025-01-02T09:57:00-05:00,515.45,515.61,515.33,515.49,1354,21,515.49
