symbol,timestamp_est,open,high,low,close,volume,trade_count,vwap
SPY,2020-07-27T00:00:00-04:00,321.625,323.39,320.82,323.26,647693,4768,322.48475
SPY,2020-07-28T00:00:00-04:00,322.57,323.635,320.85,321.24,521475,4238,322.427003
SPY,2020-07-29T00:00:00-04:00,322.12,325.705,322.12,325.16,600377,4808,324.227394
SPY,2020-07-30T00:00:00-04:00,321.71,324.385,319.64,323.96,612074,4800,322.353494
SPY,2020-07-31T00:00:00-04:00,325.9,326.6,321.34,326.54,1135945,7509,324.032081
SPY,2020-08-03T00:00:00-04:00,328.35,329.615,327.745,328.76,576077,5097,328.910612
SPY,2020-08-04T00:00:00-04:00,328.15,330,327.96,330,658108,6232,329.0526
SPY,2020-08-05T00:00:00-04:00,331.43,332.38,331.19,332.08,505770,4547,331.891162
SPY,2020-08-06T00:00:00-04:00,331.46,334.46,331.17,334.28,637928,5025,333.014743
SPY,2020-08-07T00:00:00-04:00,333.26,334.69,332.31,334.6,646217,4966,333.728027
SPY,2020-08-10T00:00:00-04:00,335.055,335.765,332.99,335.52,503468,5033,335.007662
SPY,2020-08-11T00:00:00-04:00,336.95,337.53,332.05,332.92,765407,5384,335.14944
SPY,2020-08-12T00:00:00-04:00,335.45,338.26,335.45,337.42,751172,4353,337.300224
SPY,2020-08-13T00:00:00-04:00,336.66,338.2,335.91,336.88,495840,3942,337.297391
SPY,2020-08-14T00:00:00-04:00,336.46,337.39,335.74,336.86,397381,3976,336.589212
SPY,2020-08-17T00:00:00-04:00,337.945,338.335,337.515,337.86,379669,3296,337.923049
SPY,2020-08-18T00:00:00-04:00,338.35,339.08,336.67,338.63,624322,4163,338.442495
SPY,2020-08-19T00:00:00-04:00,339.045,339.61,336.66,337.28,957875,4940,338.475064
SPY,2020-08-20T00:00:00-04:00,335.39,338.78,335.22,338.22,557824,5170,337.555004
SPY,2020-08-21T00:00:00-04:00,337.92,339.72,337.57,339.44,560454,4667,338.965359
SPY,2020-08-24T00:00:00-04:00,342.13,342.97,341.1,342.97,551451,4700,341.942787
SPY,2020-08-25T00:00:00-04:00,343.545,344.18,342.305,344.12,597403,4387,343.235499
SPY,2020-08-26T00:00:00-04:00,344.74,347.84,344.17,347.61,538806,4006,346.38649
SPY,2020-08-27T00:00:00-04:00,348.535,349.86,346.57,348.32,828795,5258,348.617593
SPY,2020-08-28T00:00:00-04:00,349.44,350.71,348.235,350.54,538160,4638,349.461013
SPY,2020-08-31T00:00:00-04:00,350.35,351.28,349.125,349.34,745582,5266,350.346388
SPY,2020-09-01T00:00:00-04:00,350.205,352.66,349.27,352.59,839295,7430,351.138059
SPY,2020-09-02T00:00:00-04:00,354.67,358.69,353.46,357.71,896884,6081,355.886068
SPY,2020-09-03T00:00:00-04:00,355.89,356.37,342.61,345.42,2064568,12415,347.366129
SPY,2020-09-04T00:00:00-04:00,345.8,347.76,334.9,342.61,1242878,8029,340.720139
SPY,2020-09-08T00:00:00-04:00,336.67,338,332.89,333.26,969669,6860,335.367561
SPY,2020-09-09T00:00:00-04:00,337.61,342.44,336.67,339.9,716556,5124,340.113816
SPY,2020-09-10T00:00:00-04:00,341.83,342.48,332.89,334,869568,6086,337.136589
SPY,2020-09-11T00:00:00-04:00,335.8,336.88,331.01,334.02,874751,6291,334.067433
SPY,2020-09-14T00:00:00-04:00,337.56,340.3,336.99,338.42,536100,5290,339.073123
SPY,2020-09-15T00:00:00-04:00,341.28,341.99,339.02,340.15,483504,4334,340.900312
SPY,2020-09-16T00:00:00-04:00,341.6,343.05,338.58,338.81,782760,5017,340.666201
SPY,2020-09-17T00:00:00-04:00,333.57,337.655,333,335.87,937446,6499,334.982683
SPY,2020-09-18T00:00:00-04:00,335.38,335.49,327.975,330.55,1218861,6429,331.270791
SPY,2020-09-21T00:00:00-04:00,325.68,327.09,321.75,327,1175907,8349,324.25228
SPY,2020-09-22T00:00:00-04:00,328.55,330.9,325.96,330.27,548236,4232,328.871055
SPY,2020-09-23T00:00:00-04:00,330.905,331.17,322.12,322.67,773794,5465,325.865344
SPY,2020-09-24T00:00:00-04:00,321.21,326.77,319.82,323.53,999033,7314,323.453049
SPY,2020-09-25T00:00:00-04:00,322.69,329.55,321.69,328.73,744169,5828,326.244766
SPY,2020-09-28T00:00:00-04:00,333.23,334.94,332.16,334.16,677013,5282,333.776364
SPY,2020-09-29T00:00:00-04:00,333.97,334.735,331.695,332.45,558608,4691,333.054236
SPY,2020-09-30T00:00:00-04:00,333.235,338.26,332.95,334.9,1383055,8172,335.844302
SPY,2020-10-01T00:00:00-04:00,337.655,338.74,335.04,337.08,733040,5596,336.670874
SPY,2020-10-02T00:00:00-04:00,331.58,335.885,331.21,333.82,956452,5661,334.361617
SPY,2020-10-05T00:00:00-04:00,336.07,339.95,336.07,339.72,423785,3856,338.409996
SPY,2020-10-06T00:00:00-04:00,339.91,342.155,334.42,334.92,866491,6489,337.767753
SPY,2020-10-07T00:00:00-04:00,338.12,341.63,338.1,340.72,400362,3893,340.147358
SPY,2020-10-08T00:00:00-04:00,342.89,343.83,341.86,343.74,378697,3546,343.152568
SPY,2020-10-09T00:00:00-04:00,345.545,347.345,344.905,346.84,444378,3472,346.241027
SPY,2020-10-12T00:00:00-04:00,349.6,354.01,349.18,352.37,494638,4139,352.081648
SPY,2020-10-13T00:00:00-04:00,352.35,352.35,349.1,350.18,554532,4484,350.978012
SPY,2020-10-14T00:00:00-04:00,350.74,351.91,347.14,347.88,386331,3419,349.25826
SPY,2020-10-15T00:00:00-04:00,343.71,347.98,343.15,347.46,467653,4139,345.890997
SPY,2020-10-16T00:00:00-04:00,349.03,350.675,347.19,347.32,650101,6304,348.959011
SPY,2020-10-19T00:00:00-04:00,348.79,349.29,341.105,341.96,679620,6538,344.550064
SPY,2020-10-20T00:00:00-04:00,343.42,346.87,342.72,343.38,615695,5121,344.38102
SPY,2020-10-21T00:00:00-04:00,343.33,345.61,342.41,342.72,639536,4956,343.909406
SPY,2020-10-22T00:00:00-04:00,342.97,345.2,340.67,344.635,520791,4155,343.369692
SPY,2020-10-23T00:00:00-04:00,345.91,345.97,343.21,345.65,436313,3889,344.817576
SPY,2020-10-26T00:00:00-04:00,342.12,342.98,335.66,339.45,1011587,7229,339.121113
SPY,2020-10-27T00:00:00-04:00,339.755,340.07,338.03,338.26,614706,5279,338.965638
SPY,2020-10-28T00:00:00-04:00,332.1,332.835,326.14,326.7,1448249,9835,328.864418
SPY,2020-10-29T00:00:00-04:00,326.91,333.35,325.11,329.95,1101572,6408,329.763714
SPY,2020-10-30T00:00:00-04:00,328.25,329.64,322.635,326.78,1296720,6982,324.864321
SPY,2020-11-02T00:00:00-05:00,330.2,332.3,327.25,330.22,799081,6699,329.687431
SPY,2020-11-03T00:00:00-05:00,333.695,338.24,333.25,335.97,916626,6531,336.427812
SPY,2020-11-04T00:00:00-05:00,340.86,347.905,339.62,343.46,1941569,10030,344.344313
SPY,2020-11-05T00:00:00-05:00,349.275,352.17,348.9,350.33,1143648,6406,350.540909
SPY,2020-11-06T00:00:00-05:00,349.92,351.45,347.74,350.16,603084,5429,350.030748
SPY,2020-11-09T00:00:00-05:00,363.97,364.315,354.08,354.55,940070,7955,359.921758
SPY,2020-11-10T00:00:00-05:00,353.52,355.08,350.595,354.1,698359,6721,353.534009
SPY,2020-11-11T00:00:00-05:00,356.39,357.53,355.09,356.69,567428,4704,356.282076
SPY,2020-11-12T00:00:00-05:00,355.57,356.345,351.29,353.22,794840,5940,353.323108
SPY,2020-11-13T00:00:00-05:00,355.27,358.88,354.745,357.94,744824,5514,356.894232
SPY,2020-11-16T00:00:00-05:00,361.1,362.46,359.63,362.43,783943,6740,361.209433
SPY,2020-11-17T00:00:00-05:00,359.985,361.875,358.375,360.67,827448,5133,360.234714
SPY,2020-11-18T00:00:00-05:00,360.98,361.5,356.25,356.25,1026905,6622,359.450572
SPY,2020-11-19T00:00:00-05:00,355.51,358.16,354.33,357.85,965976,5359,356.403432
SPY,2020-11-20T00:00:00-05:00,357.48,357.68,355.28,355.38,844641,5601,356.710302
SPY,2020-11-23T00:00:00-05:00,357.27,358.69,354.9,357.51,732916,4879,356.881643
SPY,2020-11-24T00:00:00-05:00,360.26,363.76,359.31,363.2,1316995,7763,362.169743
SPY,2020-11-25T00:00:00-05:00,363.13,363.16,361.51,362.63,637659,5258,362.398027
SPY,2020-11-27T00:00:00-05:00,363.96,364.165,362.59,363.7,309433,2871,363.616538
SPY,2020-11-30T00:00:00-05:00,362.8,362.965,359.2,362.32,1019085,5603,361.216138
SPY,2020-12-01T00:00:00-05:00,365.56,367.645,364.98,365.96,846449,6447,366.513813
SPY,2020-12-02T00:00:00-05:00,364.82,366.92,364.23,366.7,435413,4291,365.95981
SPY,2020-12-03T00:00:00-05:00,366.69,368.165,365.51,366.7,588550,5101,366.93114
SPY,2020-12-04T00:00:00-05:00,367.31,369.82,367.22,369.82,535394,3890,368.842084
SPY,2020-12-07T00:00:00-05:00,369.035,369.61,367.73,369.04,713275,5190,368.781437
SPY,2020-12-08T00:00:00-05:00,367.69,370.76,367.68,370.12,701698,5511,369.431329
SPY,2020-12-09T00:00:00-05:00,370.89,371.02,365.96,367,1124314,9572,368.114748
